id,length_nt,gc,length_aa,stops
NC_001700.1:6216-7760,1545,41.68,514,1
NC_001643.1:5321-6862,1542,45.98,513,1
NC_002008.4:5349-6893,1545,40.78,514,1
NC_000886.1:5401-6948,1548,41.93,515,1
NC_012920.1:5904-7445,1542,46.24,513,1
NC_022819.1:5460-7016,1557,37.25,518,1
